T,N,sim,beta_interactive.1,beta_interactive.2,beta_interactive.3,beta_interactive.4,beta_interactive.5,beta_within.1,beta_within.2,beta_within.3,beta_within.4,beta_within.5,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_interactive.4,sde_interactive.5,sde_within.1,sde_within.2,sde_within.3,sde_within.4,sde_within.5
20,40,0,1.1687151079564213,3.1381490650856616,4.289669550716429,1.81932196764314,4.124831091819036,1.4106532112576065,3.3767307715499193,5.107490217528263,,,,,,,,0.059584981070115305,0.061425213951772924,0.09533230158532705,,
30,40,0,0.9757934774187578,3.02883038134497,4.971627256740159,2.044620143704398,4.052398690607241,1.4164273665787082,3.4238036821015525,4.285119685874308,,,,,,,,0.050065783269598284,0.04794671129215077,0.09287483002568177,,
40,40,0,1.0804928905569333,3.042085506168153,4.931202345507017,2.0024698464087205,4.009986399462976,1.4255694822818474,3.366558500648302,3.3318313828907584,,,,,,,,0.04179090096416864,0.04208994049552393,0.068309887390689,,
50,40,0,1.0369237552583792,3.111990015248862,4.825746915636274,1.9817012897496484,3.9526198966583213,1.3756732415988318,3.421463304381545,4.889730417613825,,,,,,,,0.037349054548240196,0.0373773772811601,0.05802593024848617,,
60,40,0,1.0290264932250983,2.998378994272517,4.953529696548923,2.0037920011898938,3.978429705355344,1.395846301648806,3.355575720702965,4.800708530186024,,,,,,,,0.033900639061172334,0.033617487193845205,0.04784448170374707,,
70,40,0,1.0876496689853425,3.0390917273151645,4.874603217986168,2.0271155288588116,4.001445729129943,1.4154775428616608,3.4268491429288908,4.901689222108459,,,,,,,,0.031189765623383804,0.03013396518263087,0.044099919096886035,,
80,40,0,1.096952596016652,3.0368028186563825,4.780185912928309,2.0121697583138767,3.9261403627459144,1.398969603611928,3.3705337154856823,4.550640193577244,,,,,,,,0.029880537831882083,0.030260978121262404,0.04433462916458022,,
90,40,0,0.9823408692534243,3.021054493983976,4.923152523886549,1.981732932732428,4.0109453114443445,1.3994235846937868,3.4182869210191154,4.302520537624693,,,,,,,,0.0273494171607992,0.02789644950306019,0.042637757634840505,,
100,40,0,0.9741720642009515,2.9724678149111177,5.056341177278453,1.9809199118781557,4.046361094510683,1.3739142906052817,3.388233709580075,4.2992442533836375,,,,,,,,0.026685039863329926,0.026440198759296006,0.0473644652511971,,
10,50,0,1.4740547203603227,3.401309751356713,4.390640669329521,1.6490714399302762,3.1595923843979064,1.4839738933510191,3.4568613437741487,3.5996102208292022,,,,,,,,0.07846614422309073,0.0750337382960293,0.10069844287402986,,
20,50,0,1.283702331511459,3.2094040199317115,4.047571750232119,1.8594382535634821,3.9804281525076384,1.4291880884395862,3.420518461112138,6.6641551239221055,,,,,,,,0.05584192460021997,0.053340177538163586,0.1021708916936186,,
30,50,0,1.0435196839374634,2.947340368917419,5.030760714201958,2.0396255456490913,4.0152671920026695,1.3749528977983951,3.3174385451076356,3.4418040501731966,,,,,,,,0.04540812236214952,0.04635943288660473,0.06597511364627966,,
