T,N,mean_interactive.1,mean_interactive.2,bias_interactive.1,bias_interactive.2,sde_interactive.1,sde_interactive.2,ci_l_interactive.1,ci_l_interactive.2,ci_u_interactive.1,ci_u_interactive.2,rmse_interactive.1,rmse_interactive.2,mean_within.1,mean_within.2,bias_within.1,bias_within.2,sde_within.1,sde_within.2,ci_l_within.1,ci_l_within.2,ci_u_within.1,ci_u_within.2,rmse_within.1,rmse_within.2
20,30,1.140844577026204,3.1806988931582296,0.1408445770262039,0.06023296438607654,,,,,,,0.1408445770262039,0.18069889315822962,0.9615147595394686,3.0315358383488675,0.03848524046053137,0.010511946116289176,0.083722984186357,0.0902349778719668,0.7974207258559924,2.8546785315740437,1.1256087932229448,3.2083931451236913,0.03848524046053137,0.03153583834886753
30,30,1.170739574142473,3.082681097673486,0.1707395741424731,0.027560365891162064,,,,,,,0.1707395741424731,0.08268109767348619,1.0161613984023157,3.0132624876362133,0.016161398402315674,0.004420829212071098,0.0671579316942045,0.066411718068228,0.8845342710054738,2.8830979120710585,1.1477885257991576,3.143427063201368,0.016161398402315674,0.013262487636213294
40,30,1.0135956305812286,2.961396530407278,0.01359563058122859,0.012867823197574069,,,,,,,0.01359563058122859,0.038603469592722206,1.0524314750114483,2.9984213976918084,0.05243147501144829,0.0005262007693972078,0.0566278970129635,0.0557852875510337,0.9414428363457965,2.8890842432245716,1.1634201136771,3.107758552159045,0.05243147501144829,0.0015786023081916234
50,30,1.1112455486752495,2.9885834950406505,0.1112455486752495,0.003805501653116513,,,,,,,0.1112455486752495,0.011416504959349538,1.098374403552485,3.009924263432317,0.09837440355248495,0.003308087810772372,0.052315037007922,0.0527399721458903,0.9958388151670777,2.9065558174807267,1.200909991937892,3.1132927093839076,0.09837440355248495,0.009924263432317115
60,30,1.0255974094325175,3.061623153172522,0.025597409432517537,0.020541051057507403,,,,,,,0.025597409432517537,0.061623153172522205,1.0131848031016764,3.02150775794902,0.013184803101676357,0.0071692526496733855,0.0448842635797751,0.0465359556817823,0.9252132630127143,2.930298960826575,1.1011563431906384,3.1127165550714655,0.013184803101676357,0.021507757949020156
70,30,1.1106838240325771,3.054530511608444,0.11068382403257715,0.0181768372028146,,,,,,,0.11068382403257715,0.0545305116084438,1.0421352443040277,2.982567205839492,0.04213524430402771,0.005810931386835971,0.044012186201698,0.044405082129535,0.9558729444678289,2.89553484413506,1.1283975441402265,3.069599567543924,0.04213524430402771,0.017432794160507914
80,30,1.0639513670017635,3.0500341929853434,0.06395136700176351,0.0166780643284478,,,,,,,0.06395136700176351,0.050034192985343395,1.0099634620852127,3.00059601398876,0.009963462085212704,0.0001986713295867304,0.0406860146460114,0.0413649285488652,0.9302203387045612,2.9195222438099115,1.0897065854658643,3.081669784167609,0.009963462085212704,0.0005960139887601912
90,30,1.0775356372091096,3.0432865321261886,0.07753563720910961,0.014428844042062869,,,,,,,0.07753563720910961,0.043286532126188604,0.9915331492435622,2.9522577574022058,0.008466850756437827,0.015914080865931417,0.0385724032148128,0.0395818900036547,0.9159326281453721,2.8746786785550165,1.0671336703417522,3.029836836249395,0.008466850756437827,0.04774224259779425
100,30,0.9908790737559912,3.118615933977658,0.009120926244008842,0.03953864465921934,,,,,,,0.009120926244008842,0.11861593397765802,0.934496339441554,3.074675657075722,0.06550366055844603,0.024891885691907294,0.036463499771991,0.0363553731245316,0.8630291931381672,3.0034204351071248,1.0059634857449409,3.145930879044319,0.06550366055844603,0.07467565707572188
10,40,1.0726035002731074,3.195748179196027,0.07260350027310736,0.06524939306534232,,,,,,,0.07260350027310736,0.19574817919602694,0.9561253472837208,3.1134950445406577,0.04387465271627922,0.037831681513552574,0.1076573938305624,0.1105084770551104,0.7451207327063738,2.8969024095262705,1.1671299618610678,3.330087679555045,0.04387465271627922,0.11349504454065773
20,40,1.1229321801100838,2.956308319918506,0.12293218011008378,0.014563893360498051,,,,,,,0.12293218011008378,0.043691680081494155,1.083767842478725,2.950052878414713,0.08376784247872493,0.016649040528429044,0.073098985028976,0.0722624014968019,0.9404964645154994,2.8084211740446077,1.2270392204419505,3.091684582784818,0.08376784247872493,0.049947121585287135
30,40,1.0539712659920148,3.090906269128702,0.05397126599201485,0.03030208970956731,,,,,,,0.05397126599201485,0.09090626912870192,1.016639486817426,2.9932350671897403,0.016639486817425997,0.002254977603419898,0.0568419913535263,0.0568978170786909,0.9052312309549773,2.881717394916558,1.1280477426798747,3.1047527394629224,0.016639486817425997,0.006764932810259694
