T,N,mean_interactive.1,mean_interactive.2,mean_interactive.3,bias_interactive.1,bias_interactive.2,bias_interactive.3,sde_interactive.1,sde_interactive.2,sde_interactive.3,ci_l_interactive.1,ci_l_interactive.2,ci_l_interactive.3,ci_u_interactive.1,ci_u_interactive.2,ci_u_interactive.3,rmse_interactive.1,rmse_interactive.2,rmse_interactive.3,mean_within.1,mean_within.2,mean_within.3,bias_within.1,bias_within.2,bias_within.3,sde_within.1,sde_within.2,sde_within.3,ci_l_within.1,ci_l_within.2,ci_l_within.3,ci_u_within.1,ci_u_within.2,ci_u_within.3,rmse_within.1,rmse_within.2,rmse_within.3
20,40,0.9781240667236386,3.0097408719064886,5.025139465644974,0.021875933276361392,0.003246957302162882,0.005027893128994876,,,,,,,,,,0.021875933276361392,0.009740871906488646,0.02513946564497438,1.3987927763445611,3.4260056237518333,4.447554595564156,0.3987927763445611,0.14200187458394442,0.11048908088716872,0.0549096365845356,0.055814422476341,0.079751010678359,1.2911718662346885,3.316611365880302,4.291245486903904,1.5064136864544337,3.5353998816233645,4.603863704224409,0.3987927763445611,0.42600562375183326,0.5524454044358436
30,40,1.0907877803671149,3.045341907847004,4.7675060362609525,0.09078778036711488,0.015113969282334624,0.046498792747809506,,,,,,,,,,0.09078778036711488,0.04534190784700387,0.23249396373904752,1.474924483113383,3.404788620603246,3.8085898157968847,0.474924483113383,0.13492954020108203,0.23828203684062305,0.04781624566087,0.0487706560698315,0.0762760526430212,1.381206363742158,3.3091998912039866,3.659091499733682,1.5686426024846079,3.5003773500025055,3.9580881318600873,0.474924483113383,0.40478862060324605,1.1914101842031153
40,40,0.9310508935393031,2.999712456963461,5.046610715651465,0.06894910646069685,9.584767884633176e-05,0.009322143130292915,,,,,,,,,,0.06894910646069685,0.00028754303653899527,0.046610715651464574,1.3103156906592368,3.467994828071138,4.207425679294367,0.3103156906592368,0.15599827602371263,0.15851486414112656,0.0409945292173172,0.0409066816823771,0.0610774677436917,1.22996788983012,3.3878192052466343,4.087716042249824,1.3906634914883536,3.5481704508956415,4.32713531633891,0.3103156906592368,0.4679948280711379,0.7925743207056328
50,40,0.8872378223521924,3.0118968677669544,5.060108705110695,0.1127621776478076,0.003965622588984807,0.012021741022138955,,,,,,,,,,0.1127621776478076,0.011896867766954422,0.06010870511069477,1.3321609827404235,3.4638470327386885,4.387316667875304,0.3321609827404235,0.15461567757956285,0.12253666642493925,0.0363823886095098,0.0366274309188611,0.052018516201421,1.260852811394244,3.392058587291492,4.285362249591305,1.4034691540866029,3.535635478185885,4.489271086159302,0.3321609827404235,0.46384703273868855,0.6126833321246963
60,40,0.9836057198426548,3.0821670939096686,4.925607324581747,0.01639428015734523,0.02738903130322286,0.014878535083650668,,,,,,,,,,0.01639428015734523,0.08216709390966859,0.07439267541825334,1.3757827516674954,3.490071099638887,4.088988462875398,0.3757827516674954,0.16335703321296227,0.18220230742492038,0.0328210035297654,0.0332623651298216,0.0495433705652122,1.3114547668126932,3.4248780619438155,3.9918852408948604,1.4401107365222976,3.555264137333958,4.186091684855936,0.3757827516674954,0.49007109963888684,0.9110115371246019
70,40,1.0285899987682023,3.093378295781134,4.845904035156405,0.02858999876820234,0.031126098593711404,0.030819192968719024,,,,,,,,,,0.02858999876820234,0.09337829578113421,0.1540959648435951,1.3697541934100534,3.431483580435607,3.904519618398621,0.36975419341005344,0.1438278601452024,0.21909607632027583,0.0316847296632403,0.0309951169862178,0.0541643869975396,1.3076532644102146,3.370734267446015,3.7983593706387535,1.4318551224098923,3.4922328934251996,4.010679866158488,0.36975419341005344,0.4314835804356072,1.0954803816013792
80,40,1.0489482063678068,2.9705812126047744,4.949586611788019,0.048948206367806835,0.00980626246507521,0.01008267764239612,,,,,,,,,,0.048948206367806835,0.029418787395225632,0.0504133882119806,1.4257295443036435,3.397207324174647,3.873838937317839,0.4257295443036435,0.132402441391549,0.2252322125364322,0.0287897261233005,0.0290555731586287,0.0486913201577103,1.3693027179772026,3.340259447233566,3.7784057034490175,1.4821563706300844,3.454155201115728,3.9692721711866605,0.4257295443036435,0.397207324174647,1.126161062682161
90,40,1.0149901743941228,3.040273750205797,4.945682627500364,0.014990174394122757,0.013424583401932347,0.01086347449992715,,,,,,,,,,0.014990174394122757,0.04027375020579704,0.05431737249963575,1.3922084835431552,3.398535083926953,4.309466688587854,0.3922084835431552,0.13284502797565093,0.13810666228242924,0.0274118555996314,0.0273149413009977,0.0398423945954648,1.338482233818465,3.3449987827371714,4.23137703012291,1.4459347332678454,3.452071385116734,4.387556347052798,0.3922084835431552,0.3985350839269528,0.6905333114121461
100,40,1.0058460279251258,3.0081203474721283,4.974852846559576,0.005846027925125785,0.0027067824907094362,0.0050294306880848795,,,,,,,,,,0.005846027925125785,0.008120347472128309,0.025147153440424397,1.4201150895032264,3.404102593413981,4.922661623028413,0.4201150895032264,0.134700864471327,0.015467675394317482,0.0260186508617502,0.0263184193884713,0.0333689924077361,1.369119470887874,3.3525194392825566,4.8572595997088595,1.4711107081185788,3.4556857475454055,4.988063646347966,0.4201150895032264,0.404102593413981,0.07733837697158741
10,50,1.1534691794734924,3.1640991470017705,4.461557243517222,0.15346917947349237,0.05469971566725684,0.10768855129655552,,,,,,,,,,0.15346917947349237,0.16409914700177053,0.5384427564827776,1.423771285588593,3.2786762882370404,4.262290880806644,0.4237712855885929,0.09289209607901346,0.14754182383867126,0.0791511231347574,0.0782231764488099,0.1245556873037197,1.2686379349085732,3.1253616796410513,4.018166219621721,1.5789046362686125,3.4319908968330295,4.506415541991567,0.4237712855885929,0.2786762882370404,0.7377091191933562
