r,T,N,sim,beta_interactive.1,beta_interactive.2,beta_interactive.3,beta_interactive.4,beta_interactive.5,beta_within.1,beta_within.2,beta_within.3,beta_within.4,beta_within.5,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_interactive.4,sde_interactive.5,sde_within.1,sde_within.2,sde_within.3,sde_within.4,sde_within.5
3,50,50,0,1.1013207778628045,3.141146243058854,4.515678880996683,2.1397164269508755,3.977634968311051,1.4157187521462233,3.4462704659377055,3.8726897078382834,,,1.597226469009946,1.5779428109718832,3.8759266564193977,2.158879710530817,1.6975228403472935,0.032491910374299056,0.03192189384849719,0.05188640916557783,,
3,50,50,1,1.0545987429447896,3.060632404016925,4.907849535816897,2.0595999135599397,4.002640845533332,1.3760085019712431,3.400056091834635,4.98232642192054,,,1.5020103574882295,1.5426171750630084,3.1857238130528893,1.8077699568595362,1.6535363025744447,0.03327975615051853,0.03282601029184918,0.05646358526255303,,
3,50,50,2,0.9750275943534243,2.9421997465586727,5.089997270824467,2.0229391656921534,3.947596742171555,1.442687042268949,3.411425413149911,3.3073155158824914,,,1.6389014337057617,1.7289554960988636,2.6550901547474033,1.661859980055498,1.9273143961908679,0.03278929304569947,0.03280363715693094,0.04672348179833691,,
3,50,50,3,1.0059921768127738,2.989694629298429,4.9651351863484585,2.001631137156244,4.010603329815016,1.4362122833504505,3.4065324040746257,5.392176480617436,,,1.5886160075331868,1.5832906406718972,2.566047866584857,1.4159754667856033,2.2028201129488445,0.033305468890083574,0.033151066494286244,0.05213931574570515,,
3,50,50,4,1.080276623213662,2.994537472730132,4.897284375600539,1.92948329122652,4.069798553374252,1.4130813009291725,3.335545031174779,5.0176655810125395,,,1.612720581876534,1.568974754395564,2.8301246686025636,1.414029610683408,2.0222226557851513,0.03406741183725721,0.03400866876076043,0.055805555133202206,,
3,50,50,5,1.1142855247203258,3.06793768336839,4.638533421563345,1.9973548670637273,4.0269381556545,1.4068715971384949,3.346059551279639,2.46860616631142,,,1.7097877061772702,1.6755426175960297,4.113341145545443,2.2372247418693902,1.7767386587161138,0.03362301302158546,0.03330563500450103,0.04513680332729789,,
3,50,50,6,1.0424367483640613,3.0793552704446956,4.910705727633015,1.934151698575348,3.996144253539974,1.4227806405611676,3.482833441735213,3.713914677771404,,,1.581417232684586,1.5951848856879225,2.8752656093722346,1.477374739398497,1.6959223781722408,0.033592213872414456,0.0335269691140815,0.05496868178867289,,
3,50,50,7,1.0085427447353477,3.0482834887817445,4.928946422125834,1.9892486731492398,4.110423177275232,1.331900235972831,3.355352275062738,3.6347564844972737,,,1.7781445348748954,1.8367978610912838,3.308719640178197,1.857884028152344,2.5762561627516343,0.03395702891407864,0.03382667296432992,0.048293334586637045,,
3,50,50,8,1.124217810392487,3.047678455870848,4.777708562631279,1.9662776039383598,3.968440816558525,1.4497581232486456,3.389023894821478,3.209409347058352,,,1.526851612904541,1.523549287443438,2.9138275923384884,1.9385276939455969,1.5092607831232563,0.03327849476615576,0.033466980891103344,0.052126404932907745,,
3,50,50,9,0.9585439017421131,3.0163014059765225,5.0144136697163955,2.029192753208081,3.979006605901928,1.3717811686034815,3.439640352551857,5.583618323085868,,,1.5292830141789957,1.5489266022546557,2.243781975973521,1.6835105505426815,1.8795366581386834,0.03207823702563983,0.032622205698620864,0.05347666740988209,,
